time,"coordinates [x,y]",elevation,azimuth
20250901_100430,"[722, 1418]",46,243
20250901_100440,"[699, 1417]",45,240
20250901_100450,"[645, 1390]",45,234
20250901_100500,"[693, 1389]",47,238
20250901_100510,"[745, 1410]",48,244
20250901_100520,"[717, 1396]",48,241
20250901_100530,"[707, 1424]",45,241
20250901_100540,"[781, 1480]",43,251
20250901_100550,"[781, 1426]",48,249
20250901_100600,"[746, 1387]",50,243
20250901_100610,"[727, 1349]",52,239
20250901_100620,"[636, 1311]",50,227
20250901_100630,"[722, 1385]",49,241
20250901_100640,"[632, 1329]",48,228
20250901_100650,"[633, 1266]",52,223
20250901_100700,"[716, 1297]",55,234
20250901_100710,"[755, 1386]",50,244
20250901_100720,"[715, 1469]",42,244
20250901_100730,"[749, 1456]",44,247
20250901_100740,"[755, 1378]",51,244
20250901_100750,"[791, 1406]",50,249
20250901_100800,"[716, 1423]",46,242
20250901_100810,"[775, 1453]",45,249
20250901_100820,"[757, 1451]",45,248
20250901_100830,"[716, 1394]",48,241
20250901_100840,"[683, 1380]",47,237
20250901_100850,"[733, 1382]",50,242
20250901_100900,"[756, 1309]",56,240
20250901_100910,"[818, 1262]",62,245
20250901_100920,"[810, 1303]",59,246
20250901_100930,"[735, 1411]",47,243
20250901_100940,"[736, 1473]",42,246
20250901_100950,"[772, 1421]",48,248
20250901_101000,"[675, 1450]",42,240
20250901_101010,"[607, 1416]",41,232
20250901_101020,"[559, 1303]",45,221
20250901_101030,"[769, 1301]",57,241
20250901_101040,"[809, 1360]",54,249
20250901_101050,"[727, 1367]",50,240
20250901_101100,"[696, 1353]",50,236
20250901_101110,"[714, 1352]",51,238
20250901_101120,"[751, 1388]",50,244
20250901_101130,"[768, 1401]",49,246
20250901_101140,"[709, 1347]",51,237
20250901_101150,"[707, 1332]",52,236
20250901_101200,"[686, 1275]",55,229
20250901_101210,"[739, 1268]",58,234
20250901_101220,"[765, 1296]",57,240
20250901_101230,"[824, 1312]",58,249
20250901_101240,"[830, 1315]",58,250
20250901_101250,"[791, 1358]",54,247
20250901_101300,"[692, 1461]",42,242
20250901_101310,"[743, 1435]",46,245
20250901_101320,"[778, 1424]",48,249
20250901_101330,"[793, 1449]",46,251
20250901_101340,"[789, 1389]",51,248
20250901_101350,"[832, 1344]",56,252
20250901_101400,"[874, 1288]",62,255
20250901_101410,"[864, 1263]",63,252
20250901_101420,"[770, 1319]",56,242
20250901_101430,"[737, 1313]",55,238
20250901_101440,"[685, 1367]",48,236
20250901_101450,"[605, 1365]",44,229
20250901_101500,"[661, 1400]",45,236
20250901_101510,"[751, 1302]",56,239
20250901_101520,"[654, 1332]",49,231
20250901_101530,"[1151, 757]",67,47
20250901_101540,"[754, 1419]",47,246
20250901_101550,"[1151, 757]",67,47
20250901_101600,"[726, 1370]",50,240
20250901_101610,"[677, 1415]",45,238
20250901_101620,"[712, 1413]",46,241
20250901_101630,"[770, 1374]",52,245
20250901_101640,"[776, 1360]",53,245
20250901_101650,"[743, 1373]",51,242
20250901_101700,"[744, 1370]",51,242
20250901_101710,"[658, 1381]",46,234
20250901_101720,"[722, 1426]",46,243
20250901_101730,"[732, 1492]",41,247
20250901_101740,"[644, 1432]",42,236
20250901_101750,"[735, 1431]",46,244
20250901_101800,"[669, 1336]",50,232
20250901_101810,"[674, 1301]",52,230
20250901_101820,"[738, 1365]",51,241
20250901_101830,"[741, 1372]",51,242
20250901_101840,"[736, 1305]",55,237
20250901_101850,"[731, 1383]",49,242
20250901_101900,"[614, 1323]",48,226
20250901_101910,"[485, 1261]",42,212
20250901_101920,"[559, 1271]",47,218
20250901_101930,"[685, 1324]",52,233
20250901_101940,"[732, 1347]",52,240
20250901_101950,"[725, 1382]",49,241
20250901_102000,"[653, 1296]",52,228
20250901_102010,"[608, 1299]",49,224
20250901_102020,"[677, 1423]",44,239
20250901_102030,"[722, 1424]",46,243
20250901_102040,"[700, 1379]",48,238
20250901_102050,"[727, 1411]",47,243
20250901_102100,"[652, 1358]",47,232
20250901_102110,"[674, 1325]",51,232
20250901_102120,"[690, 1321]",52,233
20250901_102130,"[680, 1285]",54,229
20250901_102140,"[703, 1307]",54,233
20250901_102150,"[728, 1361]",51,240
20250901_102200,"[686, 1367]",49,236
20250901_102210,"[684, 1385]",47,237
20250901_102220,"[654, 1322]",50,230
20250901_102230,"[739, 1339]",53,240
20250901_102240,"[788, 1349]",54,246
20250901_102250,"[728, 1256]",58,232
20250901_102300,"[765, 1281]",58,239
20250901_102310,"[736, 1268]",58,234
20250901_102320,"[714, 1289]",55,233
20250901_102330,"[680, 1253]",56,226
20250901_102340,"[712, 1277]",56,232
20250901_102350,"[818, 1359]",54,250
20250901_102400,"[808, 1389]",52,250
20250901_102410,"[732, 1416]",47,243
20250901_102420,"[726, 1417]",47,243
20250901_102430,"[772, 1449]",46,249
20250901_102440,"[750, 1454]",45,247
20250901_102450,"[753, 1435]",46,246
20250901_102500,"[809, 1432]",48,252
20250901_102510,"[805, 1419]",49,251
20250901_102520,"[756, 1400]",49,245
20250901_102530,"[682, 1396]",46,237
20250901_102540,"[557, 1303]",45,220
20250901_102550,"[643, 1324]",49,229
20250901_102600,"[743, 1415]",47,244
20250901_102610,"[839, 1469]",46,257
20250901_102620,"[720, 1377]",49,240
20250901_102630,"[728, 1366]",51,240
20250901_102640,"[706, 1432]",45,242
20250901_102650,"[668, 1471]",40,240
20250901_102700,"[648, 1441]",41,237
20250901_102710,"[751, 1471]",43,248
20250901_102720,"[726, 1432]",45,244
20250901_102730,"[669, 1354]",49,234
20250901_102740,"[700, 1374]",49,238
20250901_102750,"[715, 1376]",49,240
20250901_102800,"[740, 1330]",54,239
20250901_102810,"[741, 1336]",53,240
20250901_102820,"[797, 1348]",55,247
20250901_102830,"[756, 1412]",48,246
20250901_102840,"[726, 1443]",45,244
20250901_102850,"[728, 1506]",40,247
20250901_102900,"[767, 1454]",45,249
20250901_102910,"[749, 1428]",47,246
20250901_102920,"[782, 1416]",49,249
20250901_102930,"[797, 1478]",44,253
20250901_102940,"[799, 1477]",44,253
20250901_102950,"[741, 1353]",52,241
20250901_103000,"[722, 1332]",53,237
20250901_103010,"[716, 1346]",51,238
20250901_103020,"[676, 1426]",44,239
20250901_103030,"[779, 1437]",47,249
20250901_103040,"[748, 1347]",53,241
20250901_103050,"[672, 1299]",52,230
20250901_103100,"[733, 1341]",53,239
20250901_103110,"[736, 1393]",49,243
20250901_103120,"[730, 1421]",46,243
20250901_103130,"[688, 1368]",49,236
20250901_103140,"[723, 1383]",49,241
20250901_103150,"[757, 1378]",51,244
20250901_103200,"[820, 1351]",55,250
20250901_103210,"[808, 1348]",55,249
20250901_103220,"[780, 1404]",50,248
20250901_103230,"[706, 1361]",50,238
20250901_103240,"[657, 1408]",44,236
20250901_103250,"[720, 1445]",44,244
20250901_103300,"[728, 1394]",48,242
20250901_103310,"[747, 1381]",50,243
20250901_103320,"[776, 1360]",53,245
20250901_103330,"[764, 1392]",50,246
20250901_103340,"[756, 1359]",52,243
20250901_103350,"[804, 1371]",53,249
20250901_103400,"[781, 1370]",52,246
20250901_103410,"[807, 1353]",54,249
20250901_103420,"[845, 1389]",53,255
20250901_103430,"[833, 1458]",46,256
20250901_103440,"[840, 1441]",48,256
20250901_103450,"[731, 1351]",52,240
20250901_103500,"[803, 1343]",55,248
20250901_103510,"[831, 1335]",57,251
20250901_103520,"[840, 1473]",45,257
20250901_103530,"[823, 1467]",46,255
20250901_103540,"[713, 1432]",45,242
20250901_103550,"[711, 1412]",46,241
20250901_103600,"[743, 1347]",53,241
20250901_103610,"[766, 1330]",55,242
20250901_103620,"[762, 1378]",51,245
20250901_103630,"[714, 1325]",53,236
20250901_103640,"[632, 1260]",53,222
20250901_103650,"[635, 1234]",54,220
20250901_103700,"[687, 1267]",55,228
20250901_103710,"[655, 1231]",56,222
20250901_103720,"[590, 1275]",49,220
20250901_103730,"[644, 1338]",48,230
20250901_103740,"[682, 1357]",49,235
20250901_103750,"[713, 1383]",49,240
20250901_103800,"[669, 1319]",51,231
20250901_103810,"[666, 1299]",52,229
20250901_103820,"[776, 1408]",49,248
20250901_103830,"[733, 1388]",49,242
20250901_103840,"[658, 1346]",49,232
20250901_103850,"[594, 1320]",47,225
20250901_103900,"[629, 1389]",44,232
20250901_103910,"[594, 1293]",48,222
20250901_103920,"[554, 771]",52,155
20250901_103930,"[699, 1301]",54,233
20250901_103940,"[782, 1289]",59,242
20250901_103950,"[719, 1223]",60,228
20250901_104000,"[654, 1260]",54,224
20250901_104010,"[645, 1317]",50,229
20250901_104020,"[714, 1373]",49,239
20250901_104030,"[776, 1415]",49,248
20250901_104040,"[691, 1427]",44,240
20250901_104050,"[613, 1357]",45,229
20250901_104100,"[648, 1336]",49,230
20250901_104110,"[701, 1373]",49,238
20250901_104120,"[686, 1360]",49,236
20250901_104130,"[573, 1264]",48,218
20250901_104140,"[554, 1236]",48,214
20250901_104150,"[583, 1333]",45,225
20250901_104200,"[579, 1276]",48,220
20250901_104210,"[595, 1307]",47,224
20250901_104220,"[626, 1255]",52,221
20250901_104230,"[697, 1260]",56,229
20250901_104240,"[802, 1348]",55,248
20250901_104250,"[740, 1388]",49,243
20250901_104300,"[772, 1385]",51,246
20250901_104310,"[706, 1343]",51,236
20250901_104320,"[708, 1341]",51,237
20250901_104330,"[765, 1370]",52,245
20250901_104340,"[677, 1326]",51,232
20250901_104350,"[639, 1314]",50,228
20250901_104400,"[755, 1360]",52,243
20250901_104410,"[796, 1340]",55,247
20250901_104420,"[853, 1334]",57,254
20250901_104430,"[757, 1330]",54,241
20250901_104440,"[685, 1333]",51,234
20250901_104450,"[638, 1282]",52,225
20250901_104500,"[610, 1328]",47,226
20250901_104510,"[594, 1290]",48,222
20250901_104520,"[626, 1252]",53,221
20250901_104530,"[675, 1336]",50,233
20250901_104540,"[685, 1400]",46,238
20250901_104550,"[733, 1445]",45,245
20250901_104600,"[674, 1300]",53,230
20250901_104610,"[666, 1329]",50,231
20250901_104620,"[599, 1239]",52,218
20250901_104630,"[545, 1177]",50,208
20250901_104640,"[634, 1226]",55,219
20250901_104650,"[722, 1336]",52,238
20250901_104700,"[698, 1400]",47,239
20250901_104710,"[595, 1384]",43,229
20250901_104720,"[561, 1338]",43,223
20250901_104730,"[593, 1345]",45,226
20250901_104740,"[657, 1348]",48,232
20250901_104750,"[735, 1339]",53,239
20250901_104800,"[658, 1263]",54,225
20250901_104810,"[682, 1267]",55,228
20250901_104820,"[690, 1307]",53,232
20250901_104830,"[622, 1278]",51,223
20250901_104840,"[568, 1215]",51,213
20250901_104850,"[682, 1382]",47,237
20250901_104900,"[813, 1447]",47,253
20250901_104910,"[844, 1381]",53,255
20250901_104920,"[746, 1308]",56,238
20250901_104930,"[737, 1278]",57,235
20250901_104940,"[754, 1250]",60,235
20250901_104950,"[713, 1306]",54,234
20250901_105000,"[696, 1352]",50,236
20250901_105010,"[699, 1370]",49,238
20250901_105020,"[720, 1407]",47,242
20250901_105030,"[717, 1365]",50,239
20250901_105040,"[760, 1391]",50,245
20250901_105050,"[715, 1524]",38,247
20250901_105100,"[676, 1365]",48,235
20250901_105110,"[642, 1295]",51,226
20250901_105120,"[722, 1241]",59,230
20250901_105130,"[765, 1190]",65,230
20250901_105140,"[695, 1295]",54,232
20250901_105150,"[684, 1316]",52,232
20250901_105200,"[762, 1420]",48,247
20250901_105210,"[751, 1488]",42,248
20250901_105220,"[700, 1413]",46,240
20250901_105230,"[685, 1336]",51,234
20250901_105240,"[677, 1266]",55,227
20250901_105250,"[696, 1288]",55,231
20250901_105300,"[685, 1306]",53,232
20250901_105310,"[743, 1300]",56,237
20250901_105320,"[839, 1383]",53,254
20250901_105330,"[841, 1435]",49,256
20250901_105340,"[754, 1461]",44,248
20250901_105350,"[734, 1403]",48,243
20250901_105400,"[642, 1296]",51,227
20250901_105410,"[676, 1334]",50,233
20250901_105420,"[708, 1300]",54,233
20250901_105430,"[663, 1287]",53,228
20250901_105440,"[660, 1310]",51,229
20250901_105450,"[646, 1294]",51,227
20250901_105500,"[665, 1266]",54,226
20250901_105510,"[754, 861]",71,154
20250901_105520,"[707, 1442]",44,242
20250901_105530,"[690, 1411]",45,239
20250901_105540,"[670, 1389]",46,236
20250901_105550,"[680, 1368]",48,236
20250901_105600,"[759, 1321]",55,241
20250901_105610,"[727, 1271]",57,233
20250901_105620,"[656, 1282]",53,227
20250901_105630,"[714, 1352]",51,238
20250901_105640,"[816, 1351]",55,250
20250901_105650,"[805, 1362]",54,249
20250901_105700,"[716, 1368]",50,239
20250901_105710,"[666, 1384]",46,235
20250901_105720,"[696, 1318]",52,234
20250901_105730,"[682, 1308]",52,231
20250901_105740,"[721, 1281]",56,233
20250901_105750,"[684, 1283]",54,229
20250901_105800,"[676, 1333]",50,233
20250901_105810,"[609, 1263]",51,221
20250901_105820,"[607, 1279]",50,222
20250901_105830,"[637, 1269]",52,224
20250901_105840,"[1097, 647]",61,66
20250901_105850,"[635, 1346]",47,230
20250901_105900,"[595, 1350]",45,227
20250901_105910,"[611, 1341]",46,228
20250901_105920,"[570, 1281]",47,219
20250901_105930,"[553, 1250]",48,215
20250901_105940,"[612, 1305]",49,225
20250901_105950,"[684, 1317]",52,232
20250901_110000,"[626, 1276]",51,223
20250901_110010,"[633, 1325]",49,228
20250901_110020,"[650, 1355]",48,232
20250901_110030,"[642, 1347]",48,231
20250901_110040,"[650, 1244]",55,222
20250901_110050,"[686, 1285]",54,230
20250901_110100,"[686, 1341]",50,234
20250901_110110,"[548, 1202]",50,210
20250901_110120,"[477, 1166]",46,203
20250901_110130,"[554, 1274]",47,218
20250901_110140,"[618, 1331]",47,227
20250901_110150,"[627, 1301]",50,226
20250901_110200,"[642, 1341]",48,230
20250901_110210,"[744, 1412]",48,244
20250901_110220,"[606, 1235]",52,218
20250901_110230,"[597, 1140]",56,206
20250901_110240,"[643, 1280]",52,225
20250901_110250,"[638, 1328]",49,229
20250901_110300,"[623, 1265]",52,222
20250901_110310,"[603, 1260]",51,220
20250901_110320,"[649, 1265]",53,224
20250901_110330,"[618, 1235]",53,219
20250901_110340,"[578, 1306]",46,222
20250901_110350,"[654, 1396]",45,235
20250901_110400,"[662, 1383]",46,235
20250901_110410,"[683, 1370]",48,236
20250901_110420,"[602, 1354]",45,228
20250901_110430,"[672, 1378]",47,235
20250901_110440,"[648, 1388]",45,234
20250901_110450,"[606, 1340]",46,227
20250901_110500,"[603, 1309]",48,224
20250901_110510,"[570, 1275]",48,219
20250901_110520,"[592, 1340]",45,226
20250901_110530,"[653, 1389]",45,234
20250901_110540,"[589, 1351]",44,226
20250901_110550,"[566, 1303]",46,221
20250901_110600,"[568, 1355]",43,225
20250901_110610,"[670, 1375]",47,235
20250901_110620,"[668, 1351]",49,233
20250901_110630,"[642, 1260]",53,223
20250901_110640,"[602, 1247]",51,219
20250901_110650,"[610, 1198]",54,214
20250901_110700,"[629, 1243]",53,221
20250901_110710,"[626, 1242]",53,220
20250901_110720,"[613, 1343]",46,228
20250901_110730,"[612, 1326]",47,226
20250901_110740,"[581, 1229]",51,215
20250901_110750,"[577, 1193]",52,211
20250901_110800,"[629, 1242]",53,220
20250901_110810,"[618, 1279]",51,223
20250901_110820,"[652, 1313]",50,229
20250901_110830,"[695, 1331]",52,234
20250901_110840,"[658, 1340]",49,232
20250901_110850,"[645, 1311]",50,228
20250901_110900,"[661, 1351]",48,233
20250901_110910,"[703, 1367]",49,238
20250901_110920,"[663, 1357]",48,233
20250901_110930,"[644, 1367]",46,232
20250901_110940,"[641, 1377]",46,233
20250901_110950,"[584, 1364]",43,227
20250901_111000,"[618, 1321]",48,227
20250901_111010,"[602, 1195]",54,213
20250901_111020,"[605, 1223]",53,217
20250901_111030,"[607, 1299]",49,224
20250901_111040,"[625, 1345]",47,229
20250901_111050,"[621, 1408]",42,233
20250901_111100,"[629, 1421]",42,234
20250901_111110,"[594, 1378]",43,229
20250901_111120,"[642, 1339]",48,230
20250901_111130,"[630, 1300]",50,226
20250901_111140,"[717, 1365]",50,239
20250901_111150,"[755, 1319]",55,240
20250901_111200,"[708, 1304]",54,234
20250901_111210,"[699, 1270]",56,230
20250901_111220,"[711, 1285]",56,233
20250901_111230,"[712, 1255]",58,230
20250901_111240,"[776, 1229]",63,236
20250901_111250,"[757, 1229]",62,233
20250901_111300,"[662, 1245]",55,224
20250901_111310,"[613, 1287]",50,223
20250901_111320,"[661, 1196]",58,218
20250901_111330,"[748, 1240]",61,233
20250901_111340,"[752, 1288]",57,238
20250901_111350,"[788, 1288]",59,242
20250901_111400,"[747, 1404]",48,244
20250901_111410,"[714, 1443]",44,243
20250901_111420,"[659, 1365]",47,233
20250901_111430,"[723, 1306]",55,236
20250901_111440,"[692, 1264]",56,229
20250901_111450,"[656, 1277]",53,226
20250901_111500,"[761, 1432]",47,247
20250901_111510,"[727, 1377]",50,241
20250901_111520,"[708, 1335]",52,236
20250901_111530,"[703, 1429]",45,241
20250901_111540,"[716, 1386]",48,240
20250901_111550,"[762, 1379]",51,245
20250901_111600,"[736, 1312]",55,238
20250901_111610,"[739, 1285]",57,236
20250901_111620,"[746, 1272]",58,236
20250901_111630,"[586, 1211]",52,214
20250901_111640,"[1074, 724]",68,64
20250901_111650,"[773, 1291]",58,241
20250901_111700,"[1073, 724]",68,64
20250901_111710,"[1066, 740]",70,64
20250901_111720,"[688, 1364]",49,236
20250901_111730,"[655, 1360]",47,233
20250901_111740,"[715, 1368]",50,239
20250901_111750,"[791, 1459]",45,251
20250901_111800,"[719, 1376]",49,240
20250901_111810,"[572, 1264]",48,218
20250901_111820,"[624, 1227]",54,218
20250901_111830,"[701, 1279]",55,231
20250901_111840,"[740, 1350]",52,241
20250901_111850,"[639, 1327]",49,229
20250901_111900,"[655, 1373]",47,234
20250901_111910,"[636, 1420]",42,235
20250901_111920,"[581, 1327]",45,224
20250901_111930,"[579, 1264]",49,219
20250901_111940,"[685, 1306]",53,232
20250901_111950,"[654, 1325]",50,230
20250901_112000,"[603, 1306]",48,224
20250901_112010,"[612, 1344]",46,228
20250901_112020,"[610, 1322]",47,226
20250901_112030,"[615, 1394]",43,232
20250901_112040,"[626, 1419]",42,234
20250901_112050,"[598, 1363]",44,228
20250901_112100,"[597, 1331]",46,226
20250901_112110,"[638, 1303]",50,227
20250901_112120,"[720, 1386]",49,241
20250901_112130,"[693, 1408]",46,239
20250901_112140,"[638, 1384]",45,233
20250901_112150,"[611, 1283]",50,223
20250901_112200,"[601, 1346]",45,227
20250901_112210,"[606, 1362]",45,229
20250901_112220,"[636, 1365]",46,231
20250901_112230,"[632, 1354]",47,230
20250901_112240,"[645, 1282]",52,226
20250901_112250,"[667, 1195]",58,219
20250901_112300,"[739, 1307]",55,238
20250901_112310,"[770, 1359]",53,245
20250901_112320,"[732, 1408]",47,243
20250901_112330,"[772, 1458]",45,249
20250901_112340,"[747, 1428]",46,246
20250901_112350,"[748, 1456]",44,247
20250901_112400,"[658, 1456]",41,239
20250901_112410,"[554, 1370]",41,225
20250901_112420,"[557, 1322]",44,222
20250901_112430,"[580, 1256]",49,218
20250901_112440,"[563, 1228]",50,214
20250901_112450,"[659, 1236]",56,223
20250901_112500,"[698, 1340]",51,235
20250901_112510,"[715, 1436]",45,243
20250901_112520,"[672, 1400]",45,237
20250901_112530,"[690, 1372]",48,237
20250901_112540,"[667, 1354]",48,233
20250901_112550,"[709, 1353]",51,237
20250901_112600,"[707, 1354]",50,237
20250901_112610,"[709, 1313]",54,235
20250901_112620,"[686, 1328]",51,233
20250901_112630,"[650, 1351]",48,232
20250901_112640,"[666, 1324]",50,231
20250901_112650,"[646, 1264]",53,224
20250901_112700,"[737, 1359]",51,241
20250901_112710,"[764, 1397]",50,246
20250901_112720,"[687, 1344]",50,235
20250901_112730,"[667, 1322]",51,231
20250901_112740,"[677, 1279]",54,228
